happy1,id,travel,direction,born,sports,aware,morning_drink,breakfast,sleep,siblings,siblings_number,pets,beer,coffee,pineapple_pizza,pinky,os,hand,energy,shoes,phone,apartment_size,rooms,apps,countries,cb,food_money,season,drink_coffee,height,bother,happy2,tutorial_batch,time,major,morning_drink2,morning_drink_cat
6,there12,1.0,s,300.0,1.0,tired,coffee,yes,8,no,0,1,3,4,no,6.0,microsoft,21.0,7,2.0,14.0,70.0,4,96,22,no,200.0,summer,milk,168.0,7,6,2025,12.15,uwi,coffee,coffee
8,duven10,2.0,nw,50.0,2.0,awake,tea_or_water,yes,7,yes,1,1,2,2,do_not_mind,6.0,microsoft,15.0,8,6.0,10.0,50.0,1,40,15,yes,200.0,fall,milk,177.0,3,6,2025,12.15,uwi,tea,tea
7,zumwi,6.0,ne,122.0,8.0,awake,coffee,yes,6,yes,1,0,3,1,no,6.0,microsoft,20.0,8,5.0,17.0,16.0,4,282,25,yes,200.0,summer,milk,186.0,9,9,2025,12.15,uwi,coffee,coffee
4,bruck39,3.5,sw,55.0,1.0,drowsy,tea,yes,7,yes,1,1,5,5,no,7.0,microsoft,14.0,6,6.0,16.0,140.0,4,18,22,no,200.0,summer,other,180.0,4,4,2025,12.15,uwi,tea,tea
6,b1,2.0,se,50.0,4.0,awake,water,yes,8,no,0,0,3,3,do_not_mind,5.0,microsoft,19.0,7,8.0,16.5,120.0,3,203,21,yes,150.0,spring,milk,169.0,6,6,2025,12.15,uwi,water,water
7,annef12,3.7,n,69.0,3.5,awake,water,yes,8,no,0,4,3,3,do_not_mind,6.3,apple,19.0,7,18.0,13.0,27.0,0,52,5,no,60.0,summer,milk,173.0,6,7,2025,12.15,uwi,water,water
6,sachs10,1.7,e,200.0,2.0,tired,smoothie,yes,8,yes,1,1,1,1,yes,6.7,apple,20.0,3,6.0,15.0,45.0,1,24,15,no,200.0,winter,milk,174.0,7,5,2025,12.15,uwi,other,juice/smoothie
1,lohee24,27.0,ne,60.0,5.0,awake,water,yes,6,yes,2,8,3,4,do_not_mind,6.0,microsoft,19.0,5,4.0,16.0,15.0,1,46,8,yes,400.0,summer,milk,167.0,4,2,2025,12.15,uwi,water,water
4,sauer54,2.1,w,57.0,1.5,tired,energie,no,6,yes,1,11,1,1,do_not_mind,5.9,microsoft,14.4,3,14.0,16.9,130.0,1,87,3,no,190.0,winter,sugar_milk,165.0,9,3,2025,12.15,uwi,other,energy_drink
6,oster17,2.1,nw,68.0,3.0,awake,coffee,yes,9,yes,1,6,2,2,yes,5.0,microsoft,15.0,5,3.0,14.0,42.0,1,19,9,yes,200.0,spring,sugar_milk,172.0,8,6,2025,12.15,uwi,coffee,coffee
5,wulfs113,2.0,nw,573.0,6.0,awake,water,yes,9,yes,2,3,2,2,no,7.0,apple,20.0,5,3.0,16.0,25.0,1,40,14,yes,200.0,summer,other,184.0,6,5,2025,12.15,uwi,water,water
9,torna22,0.3,sw,144.0,2.0,awake,coffee,yes,9,yes,1,2,2,3,yes,6.0,microsoft,18.3,6,6.0,15.0,80.0,3,47,13,yes,250.0,spring,milk,169.0,7,8,2025,12.15,uwi,coffee,coffee
